---- ICPC Presentation Admin (2.3.491) ----
OS:  Windows 10 (amd64/10.0)
JRE: Oracle Corporation (11.0.11)
Folder: C:\Users\diego\Documents\DomJudge\1. presentationAdmin
Host: ROCA12ULTRA / 192.168.0.3
Locale/TZ: es_CO / hora estándar de Colombia
Args: https://localhost:8443 presAdmin padm1n 
Log started 2021.12.14 13:11.12

2021.12.14 13:11.13 I Download https://localhost:8443/presentation/ to C:\Users\diego\AppData\Local\Temp\org.icpc.tools.cache.localhost\presentation\listing.dir (200) (8.1kb in 171ms)
2021.12.14 13:11.13 I Updates found on CDS: 0
2021.12.14 13:11.14 presAdmin connecting...
2021.12.14 13:11.15 presAdmin connected
2021.12.14 13:11.15 I > {"type":"pres_list"}
2021.12.14 13:11.15 I > {"type":"info","source":"6720a0f7","client.type":"pres-admin","version":"2.3.491","os.name":"Windows 10","os.version":...
2021.12.14 13:11.16 I < {"type":"clients","clients":[]}
2021.12.14 13:11.16 I < {"type":"ping"}
2021.12.14 13:11.16 I > {"type":"ping"}
2021.12.14 13:11.16 I < {"type":"pres_list","file":"UEsDBBQACAgIADFf51IAAAAAAAAAAAAAAAAaAAAATUVUQS1JTkYvcHJlc2VudGF0aW9ucy54bWzNnOtz2zYSwL/3r8...
2021.12.14 13:11.16 I Looking for presentations in C:\Users\diego\AppData\Local\Temp\presentAdmin2424197045784432476zip
2021.12.14 13:11.16 I    Found 65 presentations
2021.12.14 13:11.16 I    Found 19 transitions
2021.12.14 13:11.16 I < {"type":"ping"}
2021.12.14 13:11.16 I > {"type":"ping"}
2021.12.14 13:11.17 I < {"type":"ping"}
2021.12.14 13:11.17 I > {"type":"ping"}
2021.12.14 13:11.17 I < {"type":"ping"}
2021.12.14 13:11.17 I > {"type":"ping"}
2021.12.14 13:11.17 I < {"type":"time","time":1639505477937}
2021.12.14 13:11.17 I Nano time diff: 1639078526358
2021.12.14 13:11.17 I > {"type":"ping"}
2021.12.14 13:11.19 I < {"type":"ping"}
2021.12.14 13:11.19 I > {"type":"ping"}
2021.12.14 13:11.49 I < {"type":"ping"}
2021.12.14 13:11.49 I > {"type":"ping"}
2021.12.14 13:12.19 I < {"type":"ping"}
2021.12.14 13:12.19 I > {"type":"ping"}
2021.12.14 13:12.27 I < {"type":"clients","clients":[{"name":"192.168.0.3","uid":"b833456f"}]}
2021.12.14 13:12.29 I < {"type":"clients","clients":[{"name":"192.168.0.3","uid":"b833456f","width":0,"height":0,"contest.ids":[6],"version":"...
2021.12.14 13:12.29 I < {"type":"info","source":"b833456f","width":1366,"height":768,"hidden":false,"display":"1w"}
2021.12.14 13:12.29 I < {"type":"info","source":"b833456f","presentation":null,"fps":0,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2wBDAAgGBgcGBQgHBw...
2021.12.14 13:12.33 I < {"type":"info","source":"b833456f","presentation":"TimelinePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD...
2021.12.14 13:12.37 I < {"type":"info","source":"b833456f","presentation":"TimelinePresentation","fps":50,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD...
2021.12.14 13:12.41 I < {"type":"info","source":"b833456f","presentation":"TimelinePresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD...
2021.12.14 13:12.45 I < {"type":"info","source":"b833456f","presentation":"TimelinePresentation","fps":55,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD...
2021.12.14 13:12.49 I < {"type":"info","source":"b833456f","presentation":"TimelinePresentation","fps":59,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD...
2021.12.14 13:12.49 I < {"type":"ping"}
2021.12.14 13:12.49 I > {"type":"ping"}
2021.12.14 13:12.53 I < {"type":"info","source":"b833456f","presentation":"TimelinePresentation","fps":57,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD...
2021.12.14 13:12.57 I < {"type":"info","source":"b833456f","presentation":"TimelinePresentation","fps":62,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD...
