---- ICPC Presentation Admin (2.3.491) ----
OS:  Windows 10 (amd64/10.0)
JRE: Oracle Corporation (11.0.11)
Folder: C:\Users\diego\Documents\GitHub\DomJudgeTools\1. presentationAdmin
Host: roca12red / 172.19.92.7
Locale/TZ: es_CO / hora estándar de Colombia
Args: https://localhost:8443 presAdmin padm1n 
Log started 2022.06.11 09:08.07

2022.06.11 09:09.56 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":50,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:09.57 I < {"type":"ping"}
2022.06.11 09:09.57 I > {"type":"ping"}
2022.06.11 09:10.00 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:10.04 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":58,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:10.08 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":53,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:10.12 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:10.16 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:10.20 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":50,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:10.24 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":59,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:10.27 I < {"type":"ping"}
2022.06.11 09:10.27 I > {"type":"ping"}
2022.06.11 09:10.28 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":53,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:10.32 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":47,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:10.36 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:10.40 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:10.44 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":54,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:10.48 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:10.52 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:10.56 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":52,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:10.57 I < {"type":"ping"}
2022.06.11 09:10.57 I > {"type":"ping"}
2022.06.11 09:11.00 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":59,"image":"/9j/4AAQSkZJRgABAgAAA...
