---- ICPC Presentation Admin (2.3.491) ----
OS:  Windows 10 (amd64/10.0)
JRE: Oracle Corporation (12.0.2)
Folder: C:\Users\diego\Documents\DomJudge\1. presentationAdmin
Host: ROCA12ULTRA / 192.168.0.3
Locale/TZ: es_CO / hora estándar de Colombia
Args: https://localhost:8443 presAdmin padm1n 
Log started 2021.12.09 10:02.57

2021.12.09 10:06.14 I > {"type":"properties","clients":[b833456f],"props":{"presentation":"1100|org.icpc.tools.presentation.contest.internal.s...
2021.12.09 10:06.14 I < {"type":"info","source":"b833456f","presentation":"TimelinePresentation","fps":62,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD...
2021.12.09 10:06.18 I < {"type":"info","source":"b833456f","presentation":"TimelinePresentation","fps":63,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD...
2021.12.09 10:06.22 I < {"type":"info","source":"b833456f","presentation":"TimelinePresentation","fps":63,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD...
2021.12.09 10:06.23 I < {"type":"clients","clients":[]}
2021.12.09 10:06.26 I < {"type":"ping"}
2021.12.09 10:06.26 I > {"type":"ping"}
2021.12.09 10:06.51 I < {"type":"clients","clients":[{"name":"192.168.0.3","uid":"b833456f"}]}
2021.12.09 10:06.51 I < {"type":"clients","clients":[{"name":"192.168.0.3","uid":"b833456f","width":0,"height":0,"contest.ids":[5],"version":"...
2021.12.09 10:06.52 I < {"type":"info","source":"b833456f","width":1366,"height":768,"hidden":false,"display":"1w"}
2021.12.09 10:06.52 I < {"type":"info","source":"b833456f","presentation":null,"fps":0,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD/2wBDAAgGBgcGBQgHBw...
2021.12.09 10:06.56 I < {"type":"info","source":"b833456f","presentation":"TimelinePresentation","fps":59,"image":"/9j/4AAQSkZJRgABAgAAAQABAAD...
2021.12.09 10:06.56 I < {"type":"ping"}
2021.12.09 10:06.56 I > {"type":"ping"}
2021.12.09 10:07.00 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":54,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:07.04 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:07.08 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:07.12 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:07.16 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:07.20 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:07.24 I < {"type":"info","source":"b833456f","presentation":"FirstSolutionPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAAQ...
2021.12.09 10:07.26 I < {"type":"ping"}
2021.12.09 10:07.26 I > {"type":"ping"}
